settlement_event_id,logged_at,run_id,dry_run,row_index,record_status_before,match_uid,prediction_uid,match_date,match_start_time,tournament,round,surface,p1,p2,model_version,ta_player_slug,outcome_code,outcome_detail,ta_match_date_found,ta_event_found,ta_round_found,ta_surface_found,settlement_score,settlement_evidence,actual_winner,score
settle_8e7ed4529b994837f58a,2026-07-08T03:49:32+00:00,run_20260708T034903Z,True,58,pending_legacy,match_d4cdcfc8edc810e014ba,pred_b87af3476c912a7dffe6,2026-03-17,,Murcia,R32,Clay,Carlos Sanchez Jover,Pablo Carreno-Busta,NN-PRE-SURFACE_FIX,CarlosSanchezJover,ta_empty,No match data found for CarlosSanchezJover,,,,,,,,
settle_4b4f53ce53d4bfadfa30,2026-07-08T03:49:32+00:00,run_20260708T034903Z,True,117,pending_legacy,match_154e809c6e13fa28ff4b,pred_2bbbef13bd569f00fe99,2026-03-18,,Miami,R128,Hard,James Duckworth,Roberto Bautista-Agut,NN-PRE-SURFACE_FIX,JamesDuckworth,ta_empty,No match data found for JamesDuckworth,,,,,,,,
settle_4ac8362a9762e40e08c3,2026-07-08T03:49:32+00:00,run_20260708T034903Z,True,338,pending_legacy,match_d90040341850763deea4,pred_9435796a96cc88d3a0b1,2026-03-26,,Alicante,R16,Clay,Alejo Sanchez Quilez,Pablo Carreno-Busta,v1.2.1,AlejoSanchezQuilez,ta_empty,No match data found for AlejoSanchezQuilez,,,,,,,,
settle_9955f6bde780e019faea,2026-07-08T03:49:32+00:00,run_20260708T034903Z,True,377,pending_legacy,match_dcfe14a24af0e3ba7175,pred_fc14d6b5dba9de7b706f,2026-03-27,,Alicante,QF,Hard,Pedro Martinez,Pablo Carreno-Busta,v1.2.1,PedroMartinez,ta_empty,No match data found for PedroMartinez,,,,,,,,
settle_6ef2d8eb6b336066d5aa,2026-07-08T03:49:32+00:00,run_20260708T034903Z,True,401,pending_legacy,match_9d3bd12a4a2d2365637d,pred_4ff029a7da02b20d9bba,2026-03-28,,Alicante,SF,Hard,Sebastian Ofner,Pablo Carreno-Busta,v1.2.1,SebastianOfner,ta_empty,No match data found for SebastianOfner,,,,,,,,
settle_f043ff1ace6c7113a21f,2026-07-08T03:49:32+00:00,run_20260708T034903Z,True,498,pending_legacy,match_a82ab3bee3e31ec2bcc9,pred_6a342813f79b6d310d58,2026-03-30,,Miyazaki,R32,Hard,Yi Zhou,Yasutaka Uchiyama,v1.2.1,YiZhou,ta_empty,No match data found for YiZhou,,,,,,,,
settle_e48a23e854735e11e02f,2026-07-08T03:49:32+00:00,run_20260708T034903Z,True,488,pending_legacy,match_2ea2e8214a5b4b949381,pred_90fc6c6e49a5581adf2c,2026-03-31,,,R32,Hard,Christopher O'Connell,Mariano Navone,v1.2.1,ChristopherO'connell,ta_empty,No match data found for ChristopherO'connell,,,,,,,,
settle_c1153d21d4a9b50e610f,2026-07-08T03:49:32+00:00,run_20260708T034903Z,True,535,pending_legacy,match_e74d912a815cab8761a2,pred_c1fcb0ddcfb94437793b,2026-04-02,,Barletta,R32,Clay,Andrea Guerrieri,Maks Kasnikowski,v1.2.1,AndreaGuerrieri,ta_empty,No match data found for AndreaGuerrieri,,,,,,,,
settle_f8ab4c13e6f9f8325fc6,2026-07-08T03:49:32+00:00,run_20260708T034903Z,True,539,pending_legacy,match_747e435e55076f7dbbe0,pred_c2c4fc8d49f4cd7155a1,2026-04-02,,Barletta,R32,Clay,Laurent Lokoli,Lorenzo Giustino,v1.2.1,LaurentLokoli,ta_empty,No match data found for LaurentLokoli,,,,,,,,
settle_77752ac6e08d0447d638,2026-07-08T03:49:32+00:00,run_20260708T034903Z,True,600,pending_legacy,match_a65555033e67393655fb,pred_8d7c2dd2f80db3108c99,2026-04-03,,Barletta,R16,Clay,Lukas Neumayer,Toby Samuel,v1.2.1,LukasNeumayer,ta_empty,No match data found for LukasNeumayer,,,,,,,,
settle_ac1190493f633e164809,2026-07-08T03:49:32+00:00,run_20260708T034903Z,True,584,pending_legacy,match_1a4f8ed26b99095ef21b,pred_75b0c207a66809638955,2026-04-03,,Barletta,R16,Clay,Marco Cecchinato,Felix Gill,v1.2.1,MarcoCecchinato,ta_empty,No match data found for MarcoCecchinato,,,,,,,,
settle_3b6a248e7d0d713d9cdc,2026-07-08T03:49:32+00:00,run_20260708T034903Z,True,670,pending_legacy,match_6ffbd3da57530204a513,pred_e5a9938086fa147aacc3,2026-04-06,4/6/26 6:00 AM,Madrid,R32,Clay,George Loffhagen,Zsombor Piros,v1.2.1,GeorgeLoffhagen,ta_empty,No match data found for GeorgeLoffhagen,,,,,,,,
settle_fc34b9bb978c1d3d928e,2026-07-08T03:49:32+00:00,run_20260708T034903Z,True,637,pending_legacy,match_878190a85d6564b1afec,pred_52bc2cfaee5d4a3a8ec3,2026-04-07,4/7/26 2:00 AM,Monte Carlo,R64,Clay,Jakub Mensik,Fabian Marozsan,v1.2.1,JakubMensik,ta_empty,No match data found for JakubMensik,,,,,,,,
settle_2249d6a2bc65c851f36b,2026-07-08T03:49:32+00:00,run_20260708T034903Z,True,697,pending_legacy,match_3fe94b5f186270db7648,pred_133f495c0456c5658ce6,2026-04-07,,,R32,Clay,Raphael Collignon,Christopher O'Connell,v1.2.1,RaphaelCollignon,ta_empty,No match data found for RaphaelCollignon,,,,,,,,
settle_0aa32c87edb308e7200e,2026-07-08T03:49:32+00:00,run_20260708T034903Z,True,838,pending_legacy,match_abda7f3b0f2de9b0e922,pred_c7c342c3c7b040cf26ca,2026-04-14,4/14/26 7:30 AM,Oeiras,R32,Hard,Borna Gojo,Rei Sakamoto,v1.2.1,BornaGojo,ta_empty,No match data found for BornaGojo,,,,,,,,
