kalshi_observation_uid,observation_schema_version,polled_at,run_id,source,series_ticker,event_ticker,market_ticker,market_status,match_date,yes_player_raw,yes_player_key,opponent_player_raw,opponent_player_key,yes_bid_dollars,yes_ask_dollars,last_price_dollars,yes_bid_size_fp,yes_ask_size_fp,volume_fp,open_interest_fp,market_open_time,market_close_time,expected_expiration_time,source_uri,source_payload_sha256,match_uid,board_side,board_p1,board_p2,board_p1_identity_key,board_p2_identity_key,board_event,match_method,match_status,alias_schema_version,alias_applied
kalshi_9498e29c1b67cf5a7678cad3,kalshi_odds_observation@1.0.0,2026-07-17T07:15:49+00:00,run_20260717T070636Z,kalshi,KXATPMATCH,KXATPMATCH-26JUL17DZUMOL,KXATPMATCH-26JUL17DZUMOL-MOL,active,2026-07-17,Alex Molcan,alex molcan,Damir Dzumhur,damir dzumhur,0.6600,0.6700,0.6700,207.00,10199.29,4693.57,4625.89,2026-07-16T22:05:00Z,2026-07-31T19:00:00Z,2026-07-17T22:00:00Z,https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXATPMATCH&status=open&limit=200,238b20d9fc275159f33fa21d497a7548ba7890be114d24f49326aab8830b00e4,match_d7b3c57862719039d704,p2,Damir Dzumhur,Alex Molcan,damir dzumhur,alex molcan,ATP - Umag (2),exact_pair_date,matched,kalshi_player_aliases@1.0.0,
kalshi_a9bbf28e3326b0ed2e8bf83e,kalshi_odds_observation@1.0.0,2026-07-17T07:15:49+00:00,run_20260717T070636Z,kalshi,KXATPMATCH,KXATPMATCH-26JUL17DZUMOL,KXATPMATCH-26JUL17DZUMOL-DZU,active,2026-07-17,Damir Dzumhur,damir dzumhur,Alex Molcan,alex molcan,0.3300,0.3400,0.3400,3586.18,1165.45,1002.18,756.08,2026-07-16T22:05:00Z,2026-07-31T19:00:00Z,2026-07-17T22:00:00Z,https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXATPMATCH&status=open&limit=200,e6e776ad91f486482777e1ff2e831990938acc65ebf90e844e2d7207af14e795,match_d7b3c57862719039d704,p1,Damir Dzumhur,Alex Molcan,damir dzumhur,alex molcan,ATP - Umag (2),exact_pair_date,matched,kalshi_player_aliases@1.0.0,
kalshi_dc40323173652e85f265774c,kalshi_odds_observation@1.0.0,2026-07-17T07:15:49+00:00,run_20260717T070636Z,kalshi,KXATPMATCH,KXATPMATCH-26JUL17RUBBAE,KXATPMATCH-26JUL17RUBBAE-RUB,active,2026-07-17,Andrey Rublev,andrey rublev,Sebastian Baez,sebastian baez,0.6200,0.6300,0.6300,2000.30,6948.23,34565.34,33932.54,2026-07-16T19:35:00Z,2026-07-31T11:20:00Z,2026-07-17T14:20:00Z,https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXATPMATCH&status=open&limit=200,dbc8167134e704dffccda0fa69f548824f8a72dd903140ad40ac9a1ffd956008,match_4afdc609dd3e509becdd,p1,Andrey Rublev,Sebastian Baez,andrey rublev,sebastian baez,ATP - Bastad (4),exact_pair_date,matched,kalshi_player_aliases@1.0.0,
kalshi_60689c79429bcb2be9d352ec,kalshi_odds_observation@1.0.0,2026-07-17T07:15:49+00:00,run_20260717T070636Z,kalshi,KXATPMATCH,KXATPMATCH-26JUL17RUBBAE,KXATPMATCH-26JUL17RUBBAE-BAE,active,2026-07-17,Sebastian Baez,sebastian baez,Andrey Rublev,andrey rublev,0.3700,0.3800,0.3800,2174.45,3905.44,7837.87,7742.20,2026-07-16T19:35:00Z,2026-07-31T11:20:00Z,2026-07-17T14:20:00Z,https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXATPMATCH&status=open&limit=200,5d221b1760550be945d6491569c69e91f6a544655587a3b1d74ca043ade22bfd,match_4afdc609dd3e509becdd,p2,Andrey Rublev,Sebastian Baez,andrey rublev,sebastian baez,ATP - Bastad (4),exact_pair_date,matched,kalshi_player_aliases@1.0.0,
kalshi_9542520e1d4a273bd799a7ba,kalshi_odds_observation@1.0.0,2026-07-17T07:15:49+00:00,run_20260717T070636Z,kalshi,KXATPMATCH,KXATPMATCH-26JUL17BURMER,KXATPMATCH-26JUL17BURMER-MER,active,2026-07-17,Daniel Merida,daniel merida aguilar,Roman Andres Burruchaga,roman andres burruchaga,0.6100,0.6200,0.6100,22144.20,4601.08,26558.92,25771.82,2026-07-16T18:55:00Z,2026-07-31T16:30:00Z,2026-07-17T19:30:00Z,https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXATPMATCH&status=open&limit=200,6949ad77693d08e49586c896cce54a6368af1ae37b6ab22d7803a8a5a0c8066a,match_09fece0862607c7a676f,p2,Roman Andres Burruchaga,Daniel Merida Aguilar,roman andres burruchaga,daniel merida aguilar,ATP - Umag (2),reviewed_alias_pair_date,matched,kalshi_player_aliases@1.0.0,daniel merida=>daniel merida aguilar
kalshi_b5c61313f7360e64a0a98718,kalshi_odds_observation@1.0.0,2026-07-17T07:15:49+00:00,run_20260717T070636Z,kalshi,KXATPMATCH,KXATPMATCH-26JUL17BURMER,KXATPMATCH-26JUL17BURMER-BUR,active,2026-07-17,Roman Andres Burruchaga,roman andres burruchaga,Daniel Merida,daniel merida aguilar,0.3800,0.3900,0.3900,7661.48,5503.41,22079.99,21385.66,2026-07-16T18:55:00Z,2026-07-31T16:30:00Z,2026-07-17T19:30:00Z,https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXATPMATCH&status=open&limit=200,838692ebe4d731c9067d600ffa4d3140cc174220f86aec9a1c3fb6eef12559c7,match_09fece0862607c7a676f,p1,Roman Andres Burruchaga,Daniel Merida Aguilar,roman andres burruchaga,daniel merida aguilar,ATP - Umag (2),reviewed_alias_pair_date,matched,kalshi_player_aliases@1.0.0,
kalshi_6e7f0259397848e62ebda497,kalshi_odds_observation@1.0.0,2026-07-17T07:15:49+00:00,run_20260717T070636Z,kalshi,KXATPMATCH,KXATPMATCH-26JUL17TABTIR,KXATPMATCH-26JUL17TABTIR-TIR,active,2026-07-17,Thiago Agustin Tirante,thiago agustin tirante,Alejandro Tabilo,alejandro tabilo,0.4400,0.4500,0.4500,424.00,3946.75,9413.42,9351.10,2026-07-16T18:05:00Z,2026-07-31T12:30:00Z,2026-07-17T15:30:00Z,https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXATPMATCH&status=open&limit=200,de6138e76dc0402d6798bbb6f9afa1034696e637d057e1778fb8eac00a8dfe3b,match_5a8fe84eed6133142f1c,p2,Alejandro Tabilo,Thiago Agustin Tirante,alejandro tabilo,thiago agustin tirante,ATP - Bastad (4),exact_pair_date,matched,kalshi_player_aliases@1.0.0,
kalshi_db586b740bd11346db310e15,kalshi_odds_observation@1.0.0,2026-07-17T07:15:49+00:00,run_20260717T070636Z,kalshi,KXATPMATCH,KXATPMATCH-26JUL17TABTIR,KXATPMATCH-26JUL17TABTIR-TAB,active,2026-07-17,Alejandro Tabilo,alejandro tabilo,Thiago Agustin Tirante,thiago agustin tirante,0.5500,0.5600,0.5600,1296.66,1175.60,16104.56,14720.97,2026-07-16T18:05:00Z,2026-07-31T12:30:00Z,2026-07-17T15:30:00Z,https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXATPMATCH&status=open&limit=200,4b90bbc00baf076ce109c2b3c7b3e9f49fd874111580f648a85575895c7f3f16,match_5a8fe84eed6133142f1c,p1,Alejandro Tabilo,Thiago Agustin Tirante,alejandro tabilo,thiago agustin tirante,ATP - Bastad (4),exact_pair_date,matched,kalshi_player_aliases@1.0.0,
kalshi_c8a73a4007cade29dd9e3e7e,kalshi_odds_observation@1.0.0,2026-07-17T07:15:49+00:00,run_20260717T070636Z,kalshi,KXATPMATCH,KXATPMATCH-26JUL17RINTSI,KXATPMATCH-26JUL17RINTSI-TSI,active,2026-07-17,Stefanos Tsitsipas,stefanos tsitsipas,Arthur Rinderknech,arthur rinderknech,0.6200,0.6300,0.6300,265.60,19819.86,18068.10,17127.10,2026-07-16T14:35:00Z,2026-07-31T08:30:00Z,2026-07-17T11:30:00Z,https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXATPMATCH&status=open&limit=200,b3fc1f2de7ff953d563c03186bea690b60b498351082f21e61c018ecbe039486,match_b6a5c42ff46ff6114519,p2,Arthur Rinderknech,Stefanos Tsitsipas,arthur rinderknech,stefanos tsitsipas,ATP - Gstaad (5),exact_pair_date,matched,kalshi_player_aliases@1.0.0,
kalshi_9a7a3bbf583b815ec19bb2a1,kalshi_odds_observation@1.0.0,2026-07-17T07:15:49+00:00,run_20260717T070636Z,kalshi,KXATPMATCH,KXATPMATCH-26JUL17RINTSI,KXATPMATCH-26JUL17RINTSI-RIN,active,2026-07-17,Arthur Rinderknech,arthur rinderknech,Stefanos Tsitsipas,stefanos tsitsipas,0.3700,0.3800,0.3800,7135.81,78621.49,14866.21,14265.54,2026-07-16T14:35:00Z,2026-07-31T08:30:00Z,2026-07-17T11:30:00Z,https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXATPMATCH&status=open&limit=200,3ccc51af3a56335111f31b4217cc0ac9a6d35f4837bf79982a2bc4aa31381665,match_b6a5c42ff46ff6114519,p1,Arthur Rinderknech,Stefanos Tsitsipas,arthur rinderknech,stefanos tsitsipas,ATP - Gstaad (5),exact_pair_date,matched,kalshi_player_aliases@1.0.0,
