session_id,start_time,end_time,initial_bankroll,final_bankroll,total_bets_placed,total_staked,total_profit_loss,win_rate,avg_odds,avg_edge,kelly_multiplier_used,notes
session_20260708_094211,2026-07-08 09:42:11,2026-07-10T20:11:21+00:00,1000.0,563.9580388990753,13,180.00000000000003,-45.551857996672446,0.3076923076923076,2.4916964716911907,0.1208819336015984,0.18,Auto session 2026-07-08 09:42
session_20260708_120034,2026-07-08 12:00:34,2026-07-09 15:40:39,1000.0,979.2825081242544,3,55.69504874552644,23.96756908528849,0.6666666666666666,2.433333333333333,0.0387843548902531,0.18,Auto session 2026-07-08 12:00
session_20260708_144433,2026-07-08 14:44:33,2026-07-09 01:07:07,1000.0,1006.8584143627018,1,37.82664659833242,-37.82664659833242,0.0,2.15,0.0767105651456256,0.18,Auto session 2026-07-08 14:44
session_20260708_165413,2026-07-08 16:54:13,2026-07-09 15:41:42,1000.0,927.6353313089854,2,120.0,-120.0,0.0,2.209782608695652,0.1453665759239465,0.18,Auto session 2026-07-08 16:54
session_20260708_192158,2026-07-08 19:21:58,,1000.0,,0,0.0,0.0,,,,0.18,Auto session 2026-07-08 19:21
session_20260708_193233,2026-07-08 19:32:33,,1000.0,,0,0.0,0.0,,,,0.18,Auto session 2026-07-08 19:32
session_20260708_194008,2026-07-08 19:40:08,,1000.0,,0,0.0,0.0,,,,0.18,Auto session 2026-07-08 19:40
session_20260708_194829,2026-07-08 19:48:29,,1000.0,,0,0.0,0.0,,,,0.18,Auto session 2026-07-08 19:48
session_20260708_195827,2026-07-08 19:58:27,,1000.0,,0,0.0,0.0,,,,0.18,Auto session 2026-07-08 19:58
session_20260708_222012,2026-07-08 22:20:12,,1000.0,,0,0.0,0.0,,,,0.18,Auto session 2026-07-08 22:20
session_20260709_004018,2026-07-09 00:40:18,2026-07-10T12:27:30.035339+00:00,1000.0,563.9580388990753,5,180.0,-138.85714285714283,0.2,2.95904761904762,0.1095183097427362,0.18,Auto session 2026-07-09 00:40
session_20260709_010548,2026-07-09 01:05:48,2026-07-15T01:43:00.622722+00:00,1000.0,563.9580388990753,3,77.14285714285712,56.387755102040806,0.6666666666666666,2.597619047619048,0.100570316538191,0.18,Auto session 2026-07-09 01:05
session_20260709_014742,2026-07-09 01:47:42,2026-07-10T08:18:37.467336+00:00,1000.0,563.9580388990753,1,25.71428571428571,-25.71428571428571,0.0,2.75,0.1185205687176097,0.18,Auto session 2026-07-09 01:47
session_20260709_051522,2026-07-09 05:15:22,2026-07-10T20:10:57.537316+00:00,1000.0,563.9580388990753,8,130.9090909090909,-19.63636363636364,0.25,2.5604166666666663,0.1111029150832665,0.18,Auto session 2026-07-09 05:15
session_20260709_055054,2026-07-09 05:50:54,,1000.0,,0,0.0,0.0,,,,0.18,Auto session 2026-07-09 05:50
session_20260709_085012,2026-07-09 08:50:12,2026-07-10 20:10:57,1000.0,1002.632090906698,3,49.09090909090909,-13.090909090909086,0.3333333333333333,2.216666666666667,0.0978572509501879,0.18,Auto session 2026-07-09 08:50
session_20260709_101721,2026-07-09 10:17:21,,1000.0,,0,0.0,0.0,,,,0.18,Auto session 2026-07-09 10:17
session_20260709_121906,2026-07-09 12:19:06,,1000.0,,0,0.0,0.0,,,,0.18,Auto session 2026-07-09 12:19
session_20260709_134043,2026-07-09 13:40:43,,1000.0,,0,0.0,0.0,,,,0.18,Auto session 2026-07-09 13:40
session_20260709_154016,2026-07-09 15:40:16,,1000.0,,0,0.0,0.0,,,,0.18,Auto session 2026-07-09 15:40
session_20260709_161926,2026-07-09 16:19:26,,1000.0,,0,0.0,0.0,,,,0.18,Auto session 2026-07-09 16:19
session_20260709_181401,2026-07-09 18:14:01,,1000.0,,0,0.0,0.0,,,,0.18,Auto session 2026-07-09 18:14
session_20260709_183050,2026-07-09 18:30:50,,1000.0,,0,0.0,0.0,,,,0.18,Auto session 2026-07-09 18:30
session_20260709_184812,2026-07-09 18:48:12,,1000.0,,0,0.0,0.0,,,,0.18,Auto session 2026-07-09 18:48
session_20260709_195137,2026-07-09 19:51:37,,1000.0,,0,0.0,0.0,,,,0.18,Auto session 2026-07-09 19:51
